case_id,rb_id,repo,framework,test_file_path,line_no,old_locator,human1,human2,final
rb031,616,"tryghost/koenig",playwright,"packages/koenig-lexical/test/e2e/floating-toolbar.test.js",13,"page.$('[data-kg-floating-toolbar]'))",,,
rb032,619,"tryghost/koenig",playwright,"packages/koenig-lexical/test/e2e/floating-toolbar.test.js",35,"page.$('[data-kg-floating-toolbar]'))",,,
rb033,621,"tryghost/koenig",playwright,"packages/koenig-lexical/test/e2e/plus-button.test.js",385,"page.locator('[data-kg-card=""markdown""]'))",,,
rb034,660,"tryghost/koenig",playwright,"packages/koenig-lexical/test/e2e/plus-button.test.js",276,"page.$('[data-kg-plus-menu]'))",,,
rb035,685,"tryghost/koenig",playwright,"packages/koenig-lexical/test/e2e/cards/audio-card.test.js",361,"page.waitForSelector('[data-kg-cardmenu-selected=""true""]')",,,
rb036,688,"tryghost/koenig",playwright,"packages/koenig-lexical/test/e2e/cards/audio-card.test.js",176,"page.getByTestId('audio-caption')",,,
rb037,689,"tryghost/koenig",playwright,"packages/koenig-lexical/test/e2e/cards/audio-card.test.js",257,"page.getByTestId('audio-caption'))",,,
rb038,690,"tryghost/koenig",playwright,"packages/koenig-lexical/test/e2e/cards/audio-card.test.js",269,"page.getByTestId('audio-caption'))",,,
rb039,698,"tryghost/koenig",playwright,"packages/koenig-lexical/test/e2e/cards/bookmark-card-with-search.test.js",244,"page.waitForSelector('[data-kg-cardmenu-selected=""true""]')",,,
rb040,699,"tryghost/koenig",playwright,"packages/koenig-lexical/test/e2e/cards/bookmark-card-without-search.test.js",238,"page.waitForSelector('[data-kg-cardmenu-selected=""true""]')",,,
